Account Number,Account Name,Crid,Asset,Hostname,Name,Price,Role,Product,Owner,Notes
18390,Project Y -- Glam Media,45133,NA,NA,M-Gigabit Private Network, $199.99 ,Network,OPS,Techops,NA
18390,Project Y -- Glam Media,45089,,app81,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45134,NA,NA,M-Gigabit Private Network, $199.99 ,Network,OPS,Techops,NA
18390,Project Y -- Glam Media,45092,,app82,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45135,NA,NA,M-Gigabit Private Network, $199.99 ,Network,OPS,Techops,NA
18390,Project Y -- Glam Media,45095,,app80,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,59471,NA,NA,M-COLO-Unmetered 100Mbps FastE Connection," $1,425.00 ",Bandwidth,OPS,Techops,NA
18390,Project Y -- Glam Media,45098,,app83,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,70912,NA,NA,M-Cloud Connect (1000Mbps) - Connect  up to 5 servers to GoGrid, $199.99 ,Bandwidth,OPS,Techops,NA
18390,Project Y -- Glam Media,45101,,app84,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45104,,app87,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45107,,app85,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,NA,,NA,
18390,Project Y -- Glam Media,45110,,app86,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45113,,app89,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,79880,NA,NA,M-Custom Hardware," $2,500.00 ",CustomHardware,Ops,Techops,NA
18390,Project Y -- Glam Media,45116,,app88,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,73017,AS-09409,dbus05,M-AdvancedPath, $210.00 ,DBUS,Database,DBTeam,NA
18390,Project Y -- Glam Media,45119,,app90,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,73014,AS-09408,dbus04,M-AdvancedPath, $210.00 ,DBUS,Database,DBTeam,The hostname and Asset was missing in original sheet from mayur
18390,Project Y -- Glam Media,45122,,app91,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,69947,AS-09407,dbus03,M-AdvancedPath, $210.00 ,DBUS,Database,DBTeam,NA
18390,Project Y -- Glam Media,45125,,app93,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,73008,AS-09406,dbus02,M-AdvancedPath, $210.00 ,DBUS,Database,DBTeam,NA
18390,Project Y -- Glam Media,45128,,app92,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,73005,AS-09344,dbus01,M-AdvancedPath, $210.00 ,DBUS,Database,DBteam,marked as app231 in the original sheet
18390,Project Y -- Glam Media,45131,,app94,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,73002,AS-09343,dbus00,M-AdvancedPath, $210.00 ,DBUS,Database,DBTeam,Marked as app230 in the original sheet
18390,Project Y -- Glam Media,70007,AS-08917,cshdpm6,M-AdvancedPath, $210.00 ,HadoopMngt,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,70004,AS-08916,cshdpm4,M-AdvancedPath, $210.00 ,HadoopMngt,Hadoop,HadoopTeam,"cshdpm4  twice , cshdpm5 missing , so I assume its cshdpm5"
18390,Project Y -- Glam Media,72999,AS-09405,cshdpm4,M-AdvancedPath, $210.00 ,HadoopMngt,Hadoop,HadoopTeam,"cshdpm4  twice , cshdpm5 missing , so I assume its cshdpm5"
18390,Project Y -- Glam Media,72996,AS-09401,cshdpm3,M-AdvancedPath, $210.00 ,HadoopMngt,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,72993,AS-09540,cshdpm2,M-AdvancedPath, $210.00 ,HadoopMngt,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,72990,AS-09331,cshdpm1,M-AdvancedPath, $210.00 ,HadoopMngt,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79862,AS-10095,cshdp99,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79858,AS-09341,cshdp98,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79854,AS-07581,cshdp97,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79850,AS-07580,cshdp96,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79846,AS-08077,cshdp95,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79842,AS-08661,cshdp94,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79838,AS-07778,cshdp93,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79834,AS-07752,cshdp92,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79830,AS-08660,cshdp91,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79826,AS-11155,cshdp90,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,72733,AS-09532,cshdp9,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79822,AS-10156,cshdp89,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79818,AS-08663,cshdp88,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79814,AS-08584,cshdp87,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79810,AS-08657,cshdp86,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79806,AS-10405,cshdp85,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79802,AS-08078,cshdp84,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79798,AS-08664,cshdp83,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79794,AS-10111,cshdp82,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79790,AS-09529,cshdp81,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79786,AS-07721,cshdp80,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,72729,AS-10029,cshdp8,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79782,AS-10404,cshdp79,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79778,AS-08083,cshdp78,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79774,AS-08069,cshdp77,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79770,AS-09412,cshdp76,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79766,AS-07582,cshdp75,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79762,AS-07606,cshdp74,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79758,AS-07578,cshdp73,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79754,AS-11770,cshdp72,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79750,AS-10152,cshdp71,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79746,AS-11209,cshdp70,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,72725,AS-09609,cshdp7,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79742,AS-10215,cshdp69,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79738,AS-10037,cshdp68,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79734,AS-11769,cshdp67,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79730,AS-09417,cshdp66,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79726,AS-10093 ,cshdp65,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79722,AS-10187,cshdp64,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79718,AS-10213,cshdp63,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79714,AS-08825,cshdp62,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79710,AS-10186,cshdp61,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79706,AS-08823,cshdp60,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,72721,AS-09534,cshdp6,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79702,AS-08824,cshdp59,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79698,AS-10185,cshdp58,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79694,AS-09416,cshdp57,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79690,AS-08451,cshdp56,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79686,AS-10212,cshdp55,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79682,AS-10153,cshdp54,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79678,AS-10184,cshdp53,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79674,AS-08822,cshdp52,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,79670,AS-09418,cshdp51,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,76476,AS-10426,cshdp50,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,72717,AS-09611,cshdp5,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,76472,AS-10412,cshdp49,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,76468,AS-10434,cshdp48,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,76464,AS-10410,cshdp47,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64134,,app155,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76460,AS-10420,cshdp46,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64137,,app156,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76456,AS-10424,cshdp45,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64140,,app157,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76452,AS-10416,cshdp44,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64143,,app158,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76448,AS-10423,cshdp43,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64146,,app159,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76444,AS-10414,cshdp42,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64149,,app160,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76440,AS-10418,cshdp41,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64152,,app161,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76436,AS-10432,cshdp40,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64155,,app162,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72713,AS-10030,cshdp4,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64158,,app163,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76432,AS-10433,cshdp39,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64161,,app164,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76428,AS-10428,cshdp38,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64164,,app165,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76424,AS-10427,cshdp37,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64167,,app166,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76420,AS-10425,cshdp36,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64170,,app167,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76416,AS-10411,cshdp35,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64173,,app168,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76412,AS-10431,cshdp34,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64176,,app169,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76408,AS-10419,cshdp33,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64179,,app170,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76404,AS-10421,cshdp32,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64182,,app171,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76399,AS-10422,cshdp31,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64185,,app172,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76395,AS-10429,cshdp30,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64188,,app173,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72709,AS-09527,cshdp3,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64191,,app174,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76391,AS-10413,cshdp29,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64194,,app175,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76387,AS-10430,cshdp28,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64197,,app176,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76383,AS-10415,cshdp27,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64200,,app177,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,76379,AS-10417,cshdp26,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64203,,app178,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72797,AS-09339,cshdp25,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64206,,app179,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72793,AS-09537,cshdp24,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64209,,app180,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72789,AS-09531,cshdp23,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64212,,app181,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72785,AS-09530,cshdp22,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64215,,app182,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72781,AS-09525,cshdp21,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64218,,app183,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72777,AS-09539,cshdp20,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64221,,app184,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72705,AS-09608,cshdp2,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64224,,app185,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72773,AS-09533,cshdp19,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64227,,app186,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72769,AS-10032,cshdp18,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64230,AS-07987,app190,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72765,AS-09535,cshdp17,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64233,,app188,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72761,AS-10028,cshdp16,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,64236,,app189,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72757,AS-09610,cshdp15,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,66954,,app190,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72753,AS-09538,cshdp14,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,66957,,app191,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72749,AS-10195,cshdp13,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,66960,,app192,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72745,AS-09536,cshdp12,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,66963,,app193,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72741,AS-09526,cshdp11,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,66966,,app194,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,79866,AS-10097 ,cshdp100,M-AdvancedPath, $315.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,66969,,app195,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72737,AS-09528,cshdp10,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,66972,,app196,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,72701,AS-10031,cshdp1,M-AdvancedPath, $280.00 ,HadoopDataNode,Hadoop,HadoopTeam,NA
18390,Project Y -- Glam Media,66975,,app197,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,78814,AS-10389,csdb06,M-AdvancedPath, $280.06 ,OracleDB,Database,DBTeam,NA
18390,Project Y -- Glam Media,66978,,app198,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,78810,AS-10378,csdb05,M-AdvancedPath, $280.06 ,OracleDB,Database,DBTeam,NA
18390,Project Y -- Glam Media,66981,,app199,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,78735,DS-00446,csdb04,M-AdvancedPath, $279.99 ,OracleDB,Database,DBTeam,NA
18390,Project Y -- Glam Media,66984,,app200,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,78730,DS-00450,csdb03,M-AdvancedPath, $279.99 ,OracleDB,Database,DBTeam,NA
18390,Project Y -- Glam Media,66987,,app201,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,78725,AS-08592,csdb02,M-AdvancedPath, $279.99 ,OracleDB,Database,DBTeam,NA
18390,Project Y -- Glam Media,66990,,app202,M-AdvancedPath - Upgrade RAM to 16 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,78720,DS-00444,csdb01,M-AdvancedPath, $279.99 ,OracleDB,Database,DBTeam,NA
